"","word","count","sentiment","n"
"856","sensible",1,"positive",1
"857","setback",1,"negative",1
"858","shake",2,"negative",1
"859","sham",1,"negative",1
"860","shambles",1,"negative",1
"861","shame",7,"negative",1
"862","shameful",1,"negative",1
"863","sharp",1,"positive",1
"864","shit",16,"negative",1
"865","shock",3,"negative",1
"866","shocked",1,"negative",1
"867","shocking",4,"negative",1
"868","sick",8,"negative",1
"869","siege",2,"negative",1
"870","silent",3,"positive",1
"871","silly",2,"negative",1
"872","sin",2,"negative",1
"873","sincere",1,"positive",1
"874","sincerely",2,"positive",1
"875","sinful",1,"negative",1
"876","sink",3,"negative",1
"877","sinking",2,"negative",1
"878","skeptical",1,"negative",1
"879","skill",1,"positive",1
"880","slap",1,"negative",1
"881","slaughter",1,"negative",1
"882","slave",6,"negative",1
"883","slaves",11,"negative",1
"884","sleazy",1,"negative",1
"885","slow",1,"negative",1
"886","slowly",5,"negative",1
"887","slur",1,"negative",1
"888","smart",3,"positive",1
"889","smarter",1,"positive",1
"890","smartest",1,"positive",1
"891","smash",1,"negative",1
"892","smear",1,"negative",1
"893","smell",3,"negative",1
"894","smelling",1,"negative",1
"895","smile",1,"positive",1
"896","smoke",1,"negative",1
"897","snappy",1,"positive",1
"898","snobbish",1,"negative",1
"899","soft",3,"positive",1
"900","sophisticated",2,"positive",1
"901","sorely",1,"negative",1
"902","sorrow",1,"negative",1
"903","sorry",10,"negative",1
"904","spectacularly",1,"positive",1
"905","spiritual",3,"positive",1
"906","split",4,"negative",1
"907","splitting",1,"negative",1
"908","spoiled",1,"negative",1
"909","spoils",2,"negative",1
"910","spooky",1,"negative",1
"911","spurious",1,"negative",1
"912","stability",1,"positive",1
"913","stagnation",1,"negative",1
"914","stall",1,"negative",1
"915","steady",2,"positive",1
"916","steal",5,"negative",1
"917","stole",1,"negative",1
"918","stolen",1,"negative",1
"919","stooge",1,"negative",1
"920","strange",1,"negative",1
"921","stricken",1,"negative",1
"922","strictly",1,"negative",1
"923","strife",1,"negative",1
"924","strike",8,"negative",1
"925","striking",9,"positive",1
"926","strong",13,"positive",1
"927","stronger",7,"positive",1
"928","strongest",1,"positive",1
"929","struggling",2,"negative",1
"930","stuck",2,"negative",1
"931","stumbles",1,"negative",1
"932","stump",1,"negative",1
"933","stunning",3,"positive",1
"934","stunted",1,"negative",1
"935","stupid",14,"negative",1
"936","stupidity",5,"negative",1
"937","stupidly",1,"negative",1
